Dengue Serotype,Dengue Protein ,Interaction type,Gene symbol,Human Protein,NCBI,Method ,Details,Author,PUBMED ID/link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,Interacts with,2804,GOLGB1,http://www.ncbi.nlm.nih.gov/gene/2804,Yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,Interacts with,4520,MTF1,http://www.ncbi.nlm.nih.gov/gene/4520,Yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,C,Interacts  with,10956,OS9,http://www.ncbi.nlm.nih.gov/gene/10956,yeast Two Hybrid Test ,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,interacts with,8546,AP3B1,http://www.ncbi.nlm.nih.gov/gene/8546,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,Interacts with,916,CD3E,http://www.ncbi.nlm.nih.gov/gene/916,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,interacts with,11151,CORO1A,http://www.ncbi.nlm.nih.gov/gene/11151,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,interacts with,51009,DERL2,http://www.ncbi.nlm.nih.gov/gene/51009,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,Interacts with,3615,IMPDH2,http://www.ncbi.nlm.nih.gov/gene/3615,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,interacts with,4673,NAP1L1,http://www.ncbi.nlm.nih.gov/gene/4673,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,E,Interacts with,,RPL24,,yeast Two Hybrid Test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
