Dengue Serotype,Dengue Protein ,Interaction type,Mosquito protein,Gene Symbol,NCBI,Method,Details,Author,Pubmed ID 
1,C,interacts with,AAEL000752,5566633,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000752,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL000951,5567491,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000951,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL001892,5572813,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL001892,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL002828,5576241,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL002828,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL003415,5578090,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003415,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL003739,5578845,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003739,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL004484,5564924,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004484,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL005656,5566809,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005656,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL008052,5569954,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008052,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL009101,5571466,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL009101,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL009948,5572673,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL009948,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL010266,5573080,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL010266,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL011129,5574403,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL011129,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL013086,5577196,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL013086,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL014012,5579140,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL014012,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,C,interacts with,AAEL014104,5563759,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL014104,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL000950,5567469,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000950,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL003415,5578090,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003415,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL003929,5563790,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003929,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL005524,5579820,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005524,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL007850,5569719,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007850,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL007980,5569873,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL007980,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL008700,5570968,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008700,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL011985,5575642,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL011985,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL014012,5579140,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL014012,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
1,E,interacts with,AAEL014104,5563759,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL014104,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,C,interacts with,AAEL000950,5567469,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL000950,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,C,interacts with,AAEL002572,5580173,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL002572,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,C,interacts with,AAEL003929,5563790,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003929,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,C,interacts with,AAEL006572,5568132,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL006572,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,E,interacts with,AAEL003676,5578793,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003676,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,E,interacts with,AAEL004855,5565544,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL004855,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,E,interacts with,AAEL005656,5566809,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005656,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,E,interacts with,AAEL005790,5567037,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005790,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,E,interacts with,AAEL010360,5573265,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL010360,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,E,interacts with,AAEL011960,5575632,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL011960,Yeast Two hybrid test,Characterization of intracellular interactions between dengue virus and host proteins,Dumrong Mairiang,http://digitalcommons.wayne.edu/oa_dissertations/551
2,NS4B,interacts with,AAEL003064,5576993,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003064,Yeast Two hybrid test,"Identification of New Protein Interactions between Dengue Fever Virus and Its Hosts, Human and Mosquito",Dumrong Mairiang et al.,"PMID:23326450,PMC3543448"
2,E,interacts with,AAEL001863,5572634,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL001863,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,E,interacts with,AAEL003530,5578368,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL003530,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,E,interacts with,AAEL005374,5566411,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL005374,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,E,interacts with,AAEL007818,5569681,http://www.ncbi.nlm.nih.gov/gene/5569681,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,E,interacts with,AAEL008599,5570825,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL008599,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
2,E,interacts with,AAEL009151,5571564,http://www.ncbi.nlm.nih.gov/gene/?term=AAEL009151,Yeast Two hybrid test,Protein-protein interactions between A. aegypti midgut and dengue virus 2: two-hybrid screens using the midgut cDNA library,Hong-Wai Tham ET AL.,PMID:26719940
