,Especie,Frecuencia
0,Homo sapiens (human),4
1,Rattus rattus (black rat),1
2,Zea mays,2
3,Glycine max (soybean),2
4,Triticum aestivum (bread wheat),7
5,Carica papaya (papaya),1
6,Todarodes pacificus (Japanese flying squid),1
7,Onchocerca volvulus,1
8,Mus musculus domesticus (western European house mouse),1
9,Gallus gallus (chicken),1
10,Chlamys islandica,1
11,Arabidopsis thaliana (thale cress),4
12,Alopecurus myosuroides,8
13,Proteus mirabilis,2
14,Dimocarpus longan,6
15,Calotropis procera,1
16,Nicotiana benthamiana,1
17,Lolium rigidum,1
18,Suaeda maritima,1
19,Taiwanofungus camphoratus,1
20,Anopheles cracens,1
21,Platynota idaeusalis,1
22,Clonorchis sinensis,2
23,Alternaria brassicicola,1
24,Penicillium chrysogenum,1
25,Penicillium malachiteum,2
26,Penicillium odoratum,1
27,Penicillium verhagenii,1
28,Penicillium concentricum,1
29,Penicillium alfredii,1
30,Malassezia vespertilionis,1
31,Caenorhabditis elegans,4
32,Zostera marina,1
33,Aspergillus affinis,2
34,Fimicolochytrium jonesii,1
35,Durotheca rogersii,1
36,Hypoxylon trugodes,1
37,Enterobacter hormaechei subsp. xiangfangensis (Enterobacter xiangfangensis),1
38,Hypoxylon fragiforme,1
39,Dothidotthia symphoricarpi CBS 119687,1
40,Aspergillus steynii IBT 23096,1
41,Verticillium dahliae VdLs.17,1
42,Blastomyces gilchristii SLH14081,1
43,Microsporum canis CBS 113480 (Arthroderma otae CBS 113480),1
44,Synchytrium microbalum,1
45,Paecilomyces variotii,1
46,Aspergillus mulundensis,1
47,Klebsiella aerogenes,1
48,Phaseolus vulgaris,4
49,Echinococcus granulosus,2
50,Elaeis guineensis (African oil palm),1
51,Nannospalax ehrenbergi (Ehrenberg's mole-rat),1
52,Hordeum vulgare subsp. vulgare (domesticated barley),1
53,Noccaea caerulescens,1
54,Culex quinquefasciatus (southern house mosquito),1
55,Oryza sativa Japonica Group (Japanese rice),1
56,Fasciola hepatica (liver fluke),1
57,Pyrenophora tritici-repentis Pt-1C-BFP,2
58,Escherichia coli str. K-12 substr. W3110,1
59,Musca domestica (house fly),2
