resName1,PDB Classification,Uniprot Acc
ZN,LYASE,P00918
ZN,LYASE,O43570
ZN,LYASE,P00915
CU,HYDROLASE,P00698
CU,HYDROLASE,P00698
CU,HYDROLASE,P00698
ZN,HYDROLASE,A0A344X7M2
ZN,HYDROLASE,E1R245
ZN,HYDROLASE,K4PWX3
ZN,HYDROLASE,A0A5Q5ADH9
ZN,HYDROLASE,K7SA42
ZN,HYDROLASE,P14488
ZN,HYDROLASE,E5KIY2
ZN,HYDROLASE,Q9K2N0
ZN,HYDROLASE,E5KIY2
ZN,HYDROLASE,A0A344X7M2
ZN,HYDROLASE,E1R245
ZN,HYDROLASE,Q9K2N0
ZN,LIGASE,C7PJE6
ZN,HYDROLASE,B2FTM1
ZN,HYDROLASE,K4KM71
ZN,HYDROLASE,G5ELM3
ZN,CHAPERONE,O14618
ZN,OXIDOREDUCTASE,P00441
CU,OXIDOREDUCTASE,P00441
ZN,OXIDOREDUCTASE,A0A024L8S1
ZN,OXIDOREDUCTASE,P42327
ZN,OXIDOREDUCTASE,1.1.1.4
ZN,OXIDOREDUCTASE,A0A1E3MC83
ZN,OXIDOREDUCTASE,A0A077EGR8
ZN,OXIDOREDUCTASE,A0A067YF90
ZN,OXIDOREDUCTASE,M5A8V4
ZN,OXIDOREDUCTASE,P00327
ZN,OXIDOREDUCTASE,A0A024L8S1
ZN,OXIDOREDUCTASE,A0A1E3MC83
ZN,OXIDOREDUCTASE,A0A067YF90
ZN,OXIDOREDUCTASE,M5A8V4
ZN,OXIDOREDUCTASE,P42327
ZN,OXIDOREDUCTASE,P00327
ZN,OXIDOREDUCTASE,A0A077EGR8
CU,OXIDOREDUCTASE,P46881
CU,OXIDOREDUCTASE,P46883
ZN,TRANSFERASE,Q8WS26
FE,OXIDOREDUCTASE,P00439
ZN,LYASE,P77704
ZN,METAL BINDING PROTEIN, 3.4.11.10"
MG,ISOMERASE,Q8PGN7
ZN,LYASE,A4DA31
ZN,LYASE,Q9HVB9
ZN,LYASE,Q5AJ71
FE,OXIDOREDUCTASE,Q74MF3
MN,HYDROLASE,W8YSI5
MN,HYDROLASE,C4LSS0
MN,HYDROLASE,3.5.3.1
MN,HYDROLASE,W8YSI5
ZN,HYDROLASE,A0A0H3KPJ4
MG,TRANSFERASE,P47811
MG,TRANSFERASE,O14965
MG,TRANSFERASE,Q02750
MG,TRANSFERASE,P28482
MG,TRANSFERASE,Q92918
MG,TRANSFERASE,O14965
MG,TRANSFERASE/TRANSFERASE INHIBITOR,A0A061FLD4
MG,TRANSFERASE,O14965
MG,TRANSFERASE/INHIBITOR, 2.7.11.23"
ZN,HYDROLASE,Q8LPL7
ZN,HYDROLASE,Q8ZPL9
ZN,HYDROLASE,Q8IJA9
CU,OXIDOREDUCTASE,Q2PAJ1
CU,OXIDOREDUCTASE,I1VE66
CU,OXIDOREDUCTASE,Q2PAJ1
CU,OXIDOREDUCTASE,I1VE66
ZN,HYDROLASE,Q5ZRR6
MG,LYASE,A0A158RFK9
ZN,LIGASE,V7II86
ZN,LIGASE,G3FIN0
CU,OXIDOREDUCTASE,E3Q9X3
FE2,OXIDOREDUCTASE,I1REW2
ZN,VIRAL PROTEIN/HYDROLASE, 3.4.17.-"
ZN,HYDROLASE,A0NFU8
ZN,HYDROLASE, 3.4.15.1"
ZN,HYDROLASE,O66990
MN,OXIDOREDUCTASE,Q8YSJ5
ZN,HYDROLASE,P31828
MN,HYDROLASE,A0A1I7CHQ2
MN,HYDROLASE,P12955
ZN,HYDROLASE,P15145
ZN,HYDROLASE,P09960
ZN,HYDROLASE,P04825
MG,ISOMERASE,P36871
MG,ISOMERASE,A0A1K2FKX8
