Human Protein,Degree
C4B,1
ACY1,1
ALDOB,1
HLAB,1
MBP,1
MFAP3L,1
MPRIP,1
MRIP,1
PCP4L1,1
SLC24A2,1
ARHGEF11,1
BAAT,1
F8,1
IPO13,1
NRGN,1
RUFY3,1
SMU1,1
TMOD1,1
APOA2,1
HMGXB3,1
NF1,1
OXSR1,1
PEBP1,1
TMEM167B,1
TOB1,1
ZNF365,1
CD14,1
SCLT1,1
MYCBP2,1
KRT8,1
EAF1,1
EAF2,1
EEF1B2,1
ERC1,1
KPNB1,1
TRIM2,1
VPS11,1
XPA,1
ENOX2,1
ZBTB8OS,1
AKAP9,1
CGNL1,1
DCUN1D4,1
EID1,1
GOLGA2,1
TTC1,1
TRAF4,1
SIAH2,1
XPO1,1
MATR3,1
APOE,1
BCL2,1
BCL2L1,1
ZAP70,1
APAF1,1
RAD51,1
TK1,1
LAMB1,1
AKAP1,1
AKR7A3,1
APOA1,1
BMS1,1
C4A,1
CCDC66,1
CTNNB1,1
DCTN1,1
GOLSYN,1
MYH14,1
PSMD1,1
SEC31A,1
SPG7,1
SYNE2,1
TNFRSF10B,1
AGGF1,1
COL12A1,1
FYB,1
KNG1,1
KPNA3,1
NID1,1
NUP50,1
PECI,1
UBXD4,1
ZNF688,1
AKAP8L,1
DCTN2,1
KTN1,1
PCM1,1
PDCD6IP,1
PRDX6,1
RAI14,1
UACA,1
C14orf94,1
TAX1BP1,1
PGK1,1
ALDH3A2,1
CAT,1
CEP135,1
COBLL1,1
CROP,1
CUL7,1
HOOK1,1
LOC643696,1
NUMA1,1
PCNT,1
RNASET2,1
SDCCAG8,1
SPTAN1,1
SYNE1,1
TP53BP2,1
TRIM62,1
VPS37A,1
DDX24,1
FUNDC1,1
FUNDC2,1
ACTA2,1
ACTB,1
ACTG1,1
ACTG2,1
AMBP,1
APBB1IP,1
AXIN1,1
BCL2L14,1
C8orf77,1
C9orf117,1
CAMK2B,1
CASP8,1
CEP63,1
DNAJC14,1
DYX1C1,1
EIF5A,1
FHL2,1
GGA1,1
ILF3,1
KIF3B,1
KRT19,1
NECAB2,1
NME3,1
OPTN,1
PABPC1,1
PHLDB3,1
PLS3,1
PRKRA,1
PRMT5,1
PSMD13,1
RPS20,1
SCMH1,1
TNIP1,1
TOX4,1
TRAFD1,1
TSG101,1
ARHGAP25,1
ARID2,1
ARNTL,1
ATN1,1
BICD1,1
C14orf118,1
C19orf21,1
CCDC14,1
CCDC99,1
CCNL2,1
CDH11,1
CHD3,1
CLIP1,1
DNM2,1
DVL2,1
EBNA1BP2,1
EVI1,1
FAM92B,1
GOPC,1
GRN,1
HECW1,1
HNRPF,1
HNRPH3,1
ITIH3,1
JAG1,1
LAMB2,1
LRRC45,1
LTBP3,1
MDFI,1
MED4,1
MLPH,1
MRPL20,1
MYH9,1
NIPSNAP1,1
NKAPL,1
NOC2L,1
PDE4DIP,1
PHC2,1
PIAS3,1
PPIA,1
PPP1R3E,1
PPRC1,1
RASSF7,1
RNF12,1
RNF125,1
RNUXA,1
SCRIB,1
SMARCB1,1
SNRPA,1
TAF15,1
TMEFF2,1
TMEM57,1
TOM1L1,1
TRIM21,1
TXNDC9,1
VIM,1
ZBTB17,1
ZCCHC17,1
ZNF135,1
KAT5,1
AZI2,1
HSP70/HSPA4,1
HSP90AA1,1
HSPA4,1
SOCS1,1
KPNA1,1
H2A,1
H2B,1
H3,1
H4,1
IL10,1
 DYNLT1,1
LOC100288418,1
CYTIP,1
NCL,1
HNRNPK,1
PRKG1,1
C4BP,1
GC,1
FASN,1
TJP1,1
PLIN3,1
PIK3CB,1
IFNGR2,1
IFNAR1,1
IFNB1,1
JAK1,1
DAXX,1
HNRNPC,1
YWHAQ (14-3-3),1
RPL24,2
NFKBIA,2
CD209,2
RPSA,2
TUBA1A,2
CLIC2,2
HPX,2
PLG,2
RNR2,2
TSPAN3,2
STAT3,2
TMF1,2
TRIP11,2
HSP90AB1,2
KIF1B,2
ANKRD50,2
APOB,2
COPS2,2
CANX,2
STAT1,2
UBR4,2
EIF4G2,2
FGB,2
MAP3K7IP2,2
PAIP1,2
SPTBN2,2
SRFBP1,2
TCF7L2,2
WWC1,2
CCDC88C,2
CNOT1,2
FGA,2
SFRS11,2
FN1,2
PIAS1,2
EMILIN1,2
LOC642846,2
LOC728047,2
GBF1,2
CAMTA2,2
CEP250,2
FAM184A,2
ENO1,2
SSB,2
ANKRD12,2
IFNGR1,2
JAK2,2
CD3E,3
CD3G,3
SERPIND1,3
UBE2I,3
FAM123B,3
DST,3
DENND1C,3
NRBP1,3
RILPL2,3
GOLGB1,4
MTF1,4
DERL2,4
IMPDH2,4
RPL6,4
ZNF394,4
BIRC2,4
RPS27,4
S100A9,4
RPS7,4
STAT2,4
FMR1,4
PSMC1,4
GTPBP4,4
HBB,4
DDX3X,4
DDX5,4
CALR,4
TYK2,4
CALCOCO2,4
IFNAR2,4
DNTTIP2,4
RPL5,4
RPL12,4
WWP1,4
AP3B1,5
CORO1A,5
NAP1L1,5
ANP32B,5
BOD1L,5
OS9,5
CLU,5
FAM192A,5
LRRFIP1,5
ZNF410,5
PTBP1,5
RRP12,6
HSPA5,6
HBA1,7
,240
