Mosquito Protein,Degree
AAEL004100,4
AAEL012827,4
AAEL000950,3
AAEL001892,3
AAEL002508,3
AAEL002565,3
AAEL003415,3
AAEL003815,3
AAEL003929,3
AAEL004484,3
AAEL005656,3
AAEL005790,3
AAEL006572,3
AAEL007201,3
AAEL007980,3
AAEL008052,3
AAEL008700,3
AAEL009101,3
AAEL009948,3
AAEL010266,3
AAEL011129,3
AAEL012527,3
AAEL012686,3
AAEL014012,3
AAEL014104,3
AAEL004316,3
AAEL004869,3
AAEL005567,3
AAEL005165,3
AAEL005524,3
AAEL010821,3
AAEL000752,2
AAEL000951,2
AAEL002572,2
AAEL002828,2
AAEL003739,2
AAEL004855,2
AAEL007850,2
AAEL013086,2
AAEL000005,2
AAEL001984,2
AAEL002057,2
AAEL003670,2
AAEL003676,2
AAEL009285,2
AAEL010782,2
AAEL011960,2
AAEL011985,2
AAEL013075,2
AAEL013583,2
AAEL001553,2
AAEL003345,2
AAEL008746,2
AAEL009182,2
AAEL009357,2
AAEL009484,2
AAEL009766,2
AAEL010066,2
AAEL010360,2
AAEL010585,2
AAEL010784,2
AAEL011137,2
AAEL011708,2
AAEL011742,2
AAEL012095,2
AAEL012556,2
AAEL012680,2
AAEL013933,2
AAEL005374,2
AAEL007818,2
AAEL008599,2
AAEL004493,2
AAEL015740,2
AAEL017096,2
AAEL014396,2
AAEL014843,2
AAEL000292,1
AAEL003750,1
AAEL003863,1
AAEL008852,1
AAEL015390,1
AAEL015681,1
AAEL001863,1
AAEL003530,1
AAEL009151,1
AAEL010974,1
AAEL000393,1
AAEL001872,1
AAEL002827,1
AAEL003393,1
AAEL003582,1
AAEL005732,1
AAEL007683,1
AAEL007948,1
AAEL008169,1
AAEL008481,1
AAEL012713,1
AAEL012947,1
AAEL015803,1
AAEL000032,1
AAE007850,1
AAEL000136,1
AAEL000709,1
AAEL002145,1
AAEL004843,1
AAEL014845,1
AAEL003064,1
AAEL001928,1
AAEL000436,1
AAEL003104,1
AAEL003973,1
AAEL004500,1
AAEL004783,1
AAEL005037,1
AAEL005733,1
AAEL006577,1
AAEL009460,1
AAEL009614,1
AAEL010005,1
AAEL010012,1
AAEL010507,1
AAEL010975,1
AAEL011988,1
AAEL012237,1
AAEL012348,1
AAEL014281,1
AAEL007406,1
AAEL000511,1
AAEL000987,1
AAEL005097,1
AAEL005508,1
AAEL005981,1
AAEL006447,1
AAEL007649,1
AAEL007696,1
AAEL007974,1
AAEL009588,1
AAEL009888,1
AAEL011282,1
AAEL012781,1
,
